,Well Number,State,Formation/Reservoir, Initial Pressure Estimate (psi) , Reservoir Temperature (deg F) , Net Pay (ft) , Wellbore Diameter (ft) ,Porosity, Water Saturation , Oil Saturation , Gas Saturation , Gas Specific Gravity ,CO2, H2S ,N2,Condensate Yield (Bc/MMcf),Condensate Gravity (API), Dew Point Pressure (psi) ,Sep. Temperature (deg F),Sep. Pressure (psi), Oil Gravity (API) , Initial GOR (scf/bbl) , Bubble Point Pressure (psi) , TVD (ft) , Spacing ,# Stages,# Clusters ,# Clusters per Stage,Pre-Refrac Completion # Stages,Pre-Refrac Completion # Clusters ,Initian Completion # Clusters per Stage,# of Total Proppant (Lbs),Total Fluid (Bbls), Lateral Length (ft) , Top Perf (ft) , Bottom Perf (ft) , Sandface Temp (deg F) , Static Wellhead Temp (deg F) , Configuration ,Production Path,Pressure Loss Correlation, Tubing ID (in) , Tubing OD (in) , Tubing Depth (ft) , Casing ID 1 (in) , Casing Footage 1 (ft) , Casing ID 2 (in) , Casing Footage 2 (ft) , Casing Depth (ft) , Configuration Change (Days Since First Prod) ,Production Path.1,Pressure Loss Correlation.1, Tubing ID (in) .1, Tubing OD (in) .1, Tubing Depth (ft) .1, Casing ID 1 (in) .1, Casing Footage 1 (ft) .1, Casing ID 2 (in) .1, Casing Footage 2 (ft) .1, Casing Depth (ft) .1, Configuration Change (Days Since First Prod) .1,Production Path.2,Pressure Loss Correlation.2, Tubing ID (in) .2, Tubing OD (in) .2, Tubing Depth (ft) .2, Casing ID 1 (in) .2, Casing Footage 1 (ft) .2, Casing ID 2 (in) .2, Casing Footage 2 (ft) .2, Casing Depth (ft) .2, Configuration Change (Days Since First Prod) .2,Production Path.3,Pressure Loss Correlation.3, Tubing ID (in) .3, Tubing OD (in) .3, Tubing Depth (ft) .3, Casing ID 1 (in) .3, Casing Footage 1 (ft) .3, Casing ID 2 (in) .3, Casing Footage 2 (ft) .3, Casing Depth (ft) .3, Configuration Change (Days Since First Prod) .3,Production Path.4,Pressure Loss Correlation.4, Tubing ID (in) .4, Tubing OD (in) .4, Tubing Depth (ft) .4, Casing ID 1 (in) .4, Casing Footage 1 (ft) .4, Casing ID 2 (in) .4, Casing Footage 2 (ft) .4, Casing Depth (ft) .4, Description 
LORIKEET,62,LA,HAYNESVILLE SHALE,9939,285,268,0.7,8.8,18.38,0.0,81.62,0.58,0.02,0.0,0.0,,30.0,9893.0,100,100,13321.8,,,11258.854,,10,69,7.0,,,,"3,591,544","77,278",4496,11253,15749,285.21375,120.0, Initial Config ,Casing,Gray,,,,4.67,15800,,,15800.0,50.0,Tubing,Gray,1.995,2.375,11225.0,4.67,15800.0,,,15800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, SNG; Unbounded legacy well 
MYNAH,63,LA,HAYNESVILLE SHALE,9800,351,208,0.7,8.84,20.25,0.0,79.75,0.582,2.46,0.0,0.05,,30.0,,100,100,30.0,,,11781.86043,1000,74,517,7.0,,,,"23,245,567","400,805",11061,12142,23203,351.0,120.0, Initial Config ,Casing,Gray,,,,4.67,11134,4.28,12087.0,23220.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CCD; Modern completions infilled between legacy parent wells. 
PARTRIDGE,64,LA,HAYNESVILLE SHALE,9900,351,209,0.7,8.84,20.25,0.0,79.75,0.583,2.45,0.0,0.05,,30.0,,100,100,30.0,,,11675.9339,1000,74,510,7.0,,,,"22,963,009","391,277",10966,11902,22868,351.0,120.0, Initial Config ,Casing,Gray,,,,4.67,11005,4.28,11880.0,22885.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CCD; Modern completions infilled between legacy parent wells. 
CASSOWARY,65,LA,HAYNESVILLE SHALE,12223,331,161,0.7,9.1,19.07,0.0,80.93,0.58,3.66,0.0,0.0,,30.0,9800.0,100,100,21274.3,,,12162.941,1300,8,104,8.0,,,,"6,134,650","144,387",4185,12374,16559,331.2319,120.0, Initial Config ,Tubing,Gray,2.323,2.875,11968.0,4.67,16792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, PDB; CLS parent later offset by modern completion 
ORIOLE,66,LA,HAYNESVILLE SHALE,11325,343,166,0.7,8.56,20.09,0.0,79.91,0.593,3.81,0.0,0.04,,30.0,,100,100,30.0,,,12509.62218,850,67,468,7.0,,,,"27,197,082","471,447",9948,12782,22730,300.0,120.0, Initial Config ,Casing,Gray,,,,4.67,11770,4.28,11136.0,22905.0,429.0,Tubing,Gray,1.995,2.375,12707.0,4.67,11770.0,4.28,11136.0,22905.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CCD; Modern 3 well development infilled between legacy parent wells. 
WARBLER,67,LA,HAYNESVILLE SHALE,11000,335,166,0.7,8.55,20.09,0.0,79.91,0.593,3.8,0.0,0.05,,30.0,,100,100,30.0,,,12451.17264,850,60,419,7.0,,,,"25,082,774","454,354",9102,12722,21824,335.0,220.7, Initial Config ,Casing,Gray,,,,4.67,11708,4.28,10138.0,21846.0,429.0,Tubing,Gray,1.995,2.375,12707.0,4.67,11708.0,4.28,10138.0,21846.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CLD; Modern 3 well development infilled between legacy parent wells. 
HARPY,68,LA,HAYNESVILLE SHALE,11325,343,166,0.7,8.56,20.09,0.0,79.91,0.593,3.81,0.0,0.04,,30.0,,100,100,30.0,,,12484.19028,850,65,452,7.0,,,,"26,976,378","483,046",9747,12780,22527,343.0,120.0, Initial Config ,Casing,Gray,,,,4.67,11819,4.28,10784.0,22602.0,431.0,Tubing,Gray,1.995,2.375,13077.0,4.67,11819.0,4.28,10784.0,22602.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CCD; Modern 3 well development infilled between legacy parent wells. 
BEE-EATER,69,LA,HAYNESVILLE SHALE,10000,379,165,0.7,9.1,20.0,0.0,80.0,0.589,3.38,0.0,0.09,,30.0,,100,100,30.0,,,11965.4042,1050,63,440,7.0,,,,"26,397,928","450,784",9800,12340,21802,379.0,226.3, Initial Config ,Casing,Gray,,,,4.67,11477,4.276,10340.0,21817.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CCD; Modern completion comparison for twin pair test. 
LOON,70,LA,HAYNESVILLE SHALE,10000,379,165,0.7,9.1,20.0,0.0,80.0,0.589,3.38,0.0,0.09,,30.0,,100,100,30.0,,,11906.29912,1050,77,235,3.0,,,,"41,398,865","648,033",9800,12462,21730,343.0,223.6, Initial Config ,Casing,Gray,,,,4.67,11585,4.276,10161.0,21746.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CLS; Wider CS & increase #/cl completion test 
CUCKOO,71,LA,BOSSIER SHALE ,10500,305,150,0.7,10.0,20.0,0.0,80.0,0.605,5.0,0.0,0.0,,60.0,10.0,100,100,60.0,0.0,10.0,12064.0,,89,445,5.0,,,,"42,946,954","697,775",9764,12441,22205,305.0,120.0, Initial Config ,Casing,Gray,,,,4.548,22313,,,22313.0,426.0,Tubing,Gray,1.995,2.375,12577.0,4.548,22313.0,,,22313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, SNG; Bossier well 
